,District Code,District Name,Zip Code
2150,64212,ABC UNIFIED,     
10231,70920,ABRAXIS CHARTER,95401
8630,68627,ACACIA ELEMENTARY CHARTER,95210
8629,68627,ACACIA MIDDLE CHARTER,95210
2930,64733,ACADEMIA MODERNA,90255
7538,75077,ACADEMY FOR ACADEMIC EXCELLENCE,92307
10284,73882,ACADEMY OF ARTS AND SCIENCES: SONOMA,91361
11007,72504,ACADEMY OF ARTS AND SCIENCES: THOUSAND O,91361
9877,75267,ACADEMY OF PERSONALIZED LEARNING,96002
3031,64733,ACADEMY OF SCIENCE AND ENGINEERING,90016
611,61630,ACALANES UNION HIGH,     
3734,64733,ACCELERATED,90037
4698,65615,ACCELERATED ACHIEVEMENT ACADEMY,95482
2785,64733,ACCELERATED CHARTER ELEMENTARY,90011
9336,69427,ACE CHARTER HIGH,95133
9210,10439,ACE EMPOWER ACADEMY,95116
9384,69450,ACE FRANKLIN MCKINLEY,95112
9552,69666,ACE INSPIRE ACADEMY,95112
233,61259,ACHIEVE ACADEMY,94621
517,61531,ACHIEVE CHARTER SCHOOL OF PARADISE INC.,95969
5822,66761,ACKERMAN CHARTER,     
4363,75309,ACTON-AGUA DULCE UNIFIED,     
9201,76786,ADELANTE CHARTER,93103
6955,67587,ADELANTO ELEMENTARY,     
2915,64733,ALAIN LEROY LOCKE COLLEGE PREPARATORY AC,90061
23,61119,ALAMEDA COMMUNITY LEARNING CENTER,94501
2,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,     
16,61119,ALAMEDA UNIFIED,     
38,61127,ALBANY CITY UNIFIED,     
8130,68338,ALBERT EINSTEIN ACADEMY CHARTER ELEMENTA,92102
7929,68338,ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,92102
4215,65136,"ALBERT EINSTEIN ACADEMY FOR LETTERS, ART",91355
1498,63032,ALDER GROVE CHARTER,95501
10086,70599,ALEXANDER VALLEY UNION ELEMENTARY,     
4409,75713,ALHAMBRA UNIFIED,     
4909,65961,ALISAL UNION,     
8337,75416,ALL TRIBES CHARTER,92082
8333,75416,ALL TRIBES ELEMENTARY CHARTER,92082
10699,71795,ALLENSWORTH ELEMENTARY,     
3059,64733,ALLIANCE ALICE M. BAXTER COLLEGE-READY H,90731
2940,64733,ALLIANCE CINDY AND BILL SIMON TECHNOLOGY,90059
3077,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12,90011
2927,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4,90003
2928,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 5,90031
3075,64733,ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8,90063
2828,64733,ALLIANCE COLLINS FAMILY COLLEGE-READY HI,90255
2854,64733,ALLIANCE DR. OLGA MOHAN HIGH,90015
2812,64733,ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-,90007
2855,64733,ALLIANCE JACK H. SKIRBALL MIDDLE,90059
2825,64733,ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACA,90003
3076,64733,ALLIANCE KORY HUNTER MIDDLE,90001
3073,64733,ALLIANCE LEADERSHIP MIDDLE ACADEMY,90043
2898,64733,ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDAT,90065
2860,64733,ALLIANCE MARC & EVA STERN MATH AND SCIEN,90032
3019,64733,ALLIANCE MARGARET M. BLOOMFIELD TECHNOLO,90255
3106,64733,ALLIANCE MARINE - INNOVATION AND TECHNOL,91352
2890,64733,ALLIANCE MORGAN MCKINZIE HIGH,90063
2859,64733,ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,90043
2853,64733,ALLIANCE PATTI AND PETER NEUWIRTH LEADER,90037
2897,64733,ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH,90047
3017,64733,ALLIANCE RENEE AND MEYER LUSKIN ACADEMY,90043
2984,64733,ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY,90031
2985,64733,ALLIANCE TED K. TAJIMA HIGH,90026
2941,64733,ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HI,90065
8810,68825,ALMOND ACRES CHARTER ACADEMY,93451
10701,71803,ALPAUGH UNIFIED,     
9236,69369,ALPHA: BLANCA ALVARADO MIDDLE,95122
9379,69450,ALPHA: CORNERSTONE ACADEMY PREPARATORY,95122
9221,10439,ALPHA: JOSE HERNANDEZ,95122
415,61333,ALPINE COUNTY UNIFIED,     
7556,67967,ALPINE UNION ELEMENTARY,     
6973,67595,ALTA LOMA ELEMENTARY,     
10706,71811,ALTA VISTA ELEMENTARY,     
7171,67736,ALTA VISTA SOUTH PUBLIC CHARTER,92410
