County Code,District Code,Subgroup ID,Test Id,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Mean Scale Score,Total Standard Met,Total Standard Nearly Met,Total Standard Not Met,Students with Scores,Total Standard Met and Above
1,10017,1,1,220.0,220.0,325.0,82.0,0.0,2435.4,4.0,16.0,62.0,82.0,4.0
1,10017,1,2,255.0,255.0,328.0,95.0,0.0,2412.8,0.0,4.0,91.0,95.0,0.0
1,31609,1,1,98.0,98.0,19.0,14.0,1.0,0.0,2.0,8.0,3.0,14.0,3.0
1,31609,1,2,91.0,91.0,19.0,13.0,0.0,0.0,0.0,1.0,12.0,13.0,0.0
1,31617,1,1,1016.0,1016.0,260.0,244.0,4.0,14301.400000000001,16.0,25.0,199.0,244.0,20.0
1,31617,1,2,1024.0,1024.0,272.0,256.0,2.0,16832.5,18.0,30.0,206.0,256.0,20.0
1,61119,1,1,37280.0,37272.0,9658.0,9320.0,3194.0,17860.499999999996,2950.0,1612.0,1562.0,9318.0,6146.0
1,61119,1,2,37640.0,37632.0,9658.0,9410.0,2997.0,17846.100000000002,2476.0,2116.0,1820.0,9408.0,5473.0
1,61127,1,1,15424.0,15416.0,4078.0,3856.0,1695.0,18084.5,1364.0,496.0,300.0,3854.0,3060.0
1,61127,1,2,15576.0,15568.0,4078.0,3894.0,1806.0,18118.5,1070.0,612.0,404.0,3892.0,2878.0
1,61143,1,1,37736.0,37576.0,10332.0,9434.0,3111.0,17785.699999999997,2653.0,1698.0,1973.0,9394.0,5764.0
1,61143,1,2,37576.0,37544.0,10332.0,9394.0,3136.0,17810.6,2242.0,1872.0,2144.0,9386.0,5379.0
1,61150,1,1,39248.0,39184.0,10036.0,9812.0,3249.0,17888.4,3310.0,1938.0,1314.0,9796.0,6558.0
1,61150,1,2,39208.0,39184.0,10036.0,9802.0,3475.0,17914.2,2493.0,2139.0,1692.0,9796.0,5971.0
1,61168,1,1,2752.0,2752.0,736.0,688.0,48.0,17219.7,126.0,196.0,318.0,688.0,174.0
1,61168,1,2,2808.0,2808.0,736.0,702.0,52.0,17169.3,98.0,190.0,362.0,702.0,150.0
1,61176,1,1,147328.0,147264.0,37504.0,36832.0,17183.0,18066.1,10489.0,4935.0,4225.0,36816.0,27672.0
1,61176,1,2,148168.0,148088.0,37502.0,37042.0,19246.0,18164.2,7235.0,5638.0,4922.0,37022.0,26483.0
1,61192,1,1,87400.0,87328.0,22596.0,21850.0,2395.0,17375.499999999996,5390.0,5570.0,8492.0,21832.0,7786.0
1,61192,1,2,88520.0,88440.0,22594.0,22130.0,1973.0,17266.3,3249.0,6136.0,10770.0,22110.0,5225.0
1,61200,1,1,55536.0,55512.0,14202.0,13884.0,3889.0,17774.0,4603.0,2772.0,2617.0,13878.0,8495.0
1,61200,1,2,55496.0,55448.0,14206.0,13874.0,3191.0,17716.9,3693.0,3702.0,3286.0,13862.0,6884.0
1,61218,1,1,91.0,91.0,13.0,13.0,2.0,0.0,2.0,6.0,3.0,13.0,4.0
1,61218,1,2,84.0,84.0,13.0,12.0,0.0,0.0,1.0,2.0,9.0,12.0,1.0
1,61234,1,1,24056.0,24056.0,6194.0,6014.0,980.0,17536.0,1756.0,1546.0,1732.0,6014.0,2736.0
1,61234,1,2,24296.0,24280.0,6194.0,6074.0,954.0,17513.199999999997,1274.0,1717.0,2128.0,6070.0,2229.0
1,61242,1,1,48504.0,48504.0,12444.0,12126.0,2316.0,17585.0,3698.0,2742.0,3370.0,12126.0,6014.0
1,61242,1,2,48752.0,48744.0,12442.0,12188.0,2186.0,17560.0,2610.0,3356.0,4034.0,12186.0,4797.0
1,61259,1,1,141576.0,141176.0,37780.0,35394.0,4218.0,17275.4,7059.0,7779.0,16339.0,35294.0,11278.0
1,61259,1,2,144104.0,143520.0,37778.0,36026.0,4050.0,17198.5,5132.0,8363.0,18477.0,35880.0,9182.0
1,61275,1,1,11904.0,11896.0,3048.0,2976.0,1598.0,18218.0,962.0,300.0,116.0,2974.0,2560.0
1,61275,1,2,11888.0,11872.0,3048.0,2972.0,1824.0,18315.7,661.0,344.0,142.0,2968.0,2485.0
1,61291,1,1,35896.0,35872.0,9236.0,8974.0,1198.0,17414.100000000002,2285.0,2237.0,3251.0,8968.0,3483.0
1,61291,1,2,35936.0,35896.0,9234.0,8984.0,842.0,17309.9,1457.0,2617.0,4064.0,8974.0,2299.0
1,61309,1,1,43216.0,43112.0,11104.0,10804.0,991.0,17317.600000000002,2358.0,3023.0,4429.0,10778.0,3349.0
1,61309,1,2,43368.0,43328.0,11102.0,10842.0,839.0,17282.8,1657.0,3210.0,5134.0,10832.0,2495.0
1,75093,1,1,45280.0,45272.0,11532.0,11320.0,5022.0,18046.3,3634.0,1560.0,1102.0,11318.0,8658.0
1,75093,1,2,45464.0,45464.0,11532.0,11366.0,5512.0,18123.2,2778.0,1918.0,1158.0,11366.0,8290.0
1,75101,1,1,64032.0,64032.0,16328.0,16008.0,7952.0,18146.9,4986.0,1972.0,1098.0,16008.0,12938.0
1,75101,1,2,64232.0,64224.0,16328.0,16058.0,8374.0,18210.6,3976.0,2326.0,1380.0,16056.0,12352.0
1,75119,1,1,1169.0,1169.0,338.0,334.0,118.0,15352.7,132.0,58.0,26.0,334.0,250.0
1,75119,1,2,1169.0,1169.0,338.0,334.0,158.0,15506.199999999999,104.0,62.0,10.0,334.0,262.0
2,61333,1,1,413.0,413.0,84.0,82.0,10.0,4780.4,26.0,17.0,29.0,82.0,36.0
2,61333,1,2,413.0,413.0,84.0,82.0,18.0,4848.8,11.0,31.0,22.0,82.0,29.0
3,10033,1,1,1048.0,1048.0,286.0,246.0,4.0,11961.3,36.0,42.0,164.0,246.0,40.0
3,10033,1,2,1024.0,1024.0,286.0,240.0,2.0,11889.199999999999,16.0,46.0,176.0,240.0,18.0
3,73981,1,1,16352.0,16304.0,4216.0,4088.0,634.0,17537.3,1248.0,1066.0,1139.0,4076.0,1881.0
