,District Code,Agency Name,Total Enrollment,Total Revenue,Revenue per student,Subgroup ID,Count Enrollment per ethnicity,County Code,Test Id,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Mean Scale Score,Total Standard Met,Total Standard Nearly Met,Total Standard Not Met,Students with Scores,Total Standard Met and Above
1799,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Hispanic,1581.0,1.0,1.0,75.0,75.0,109.0,27.0,0.0,2464.9,2.0,8.0,17.0,27.0,2.0
11010,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Two or More Races,225.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Hispanic,1581.0,1.0,2.0,100.0,100.0,110.0,36.0,0.0,2431.3,0.0,2.0,34.0,36.0,0.0
9401,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Hawaiian Native/Pacific Islander,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9402,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Hawaiian Native/Pacific Islander,33.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5797,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Asian or Pacific Islander,263.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5796,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Asian or Pacific Islander,263.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3797,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,White,209.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3796,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,White,209.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12901,10017,,,,,Filipino,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12902,10017,,,,,Filipino,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7596,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,American Indian/Alaska Native,16.0,,,,,,,,,,,,,
11009,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Two or More Races,225.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Black,543.0,1.0,1.0,105.0,105.0,157.0,41.0,0.0,2419.6,0.0,6.0,35.0,41.0,0.0
11,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Black,543.0,1.0,2.0,115.0,115.0,157.0,45.0,0.0,2403.7,0.0,0.0,45.0,45.0,0.0
3830,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,White,143.0,3.0,1.0,688.0,688.0,156.0,141.0,4.0,4982.9,23.0,31.0,83.0,141.0,27.0
5826,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Asian or Pacific Islander,0.0,,,,,,,,,,,,,
1834,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Hispanic,51.0,3.0,2.0,189.0,189.0,33.0,27.0,1.0,0.0,1.0,2.0,23.0,27.0,2.0
7626,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,American Indian/Alaska Native,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Black,0.0,,,,,,,,,,,,,
7625,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,American Indian/Alaska Native,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9429,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Hawaiian Native/Pacific Islander,0.0,,,,,,,,,,,,,
1833,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Hispanic,51.0,3.0,1.0,196.0,196.0,33.0,28.0,0.0,0.0,4.0,1.0,23.0,28.0,4.0
11039,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Two or More Races,19.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3831,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,White,143.0,3.0,2.0,680.0,680.0,156.0,138.0,0.0,4940.1,14.0,30.0,94.0,138.0,14.0
11038,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Two or More Races,19.0,3.0,1.0,66.0,66.0,13.0,11.0,0.0,0.0,1.0,4.0,6.0,11.0,1.0
11201,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Two or More Races,97.0,4.0,2.0,78.0,78.0,13.0,13.0,0.0,0.0,1.0,2.0,10.0,13.0,1.0
11200,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Two or More Races,97.0,4.0,1.0,78.0,78.0,13.0,13.0,0.0,0.0,3.0,2.0,8.0,13.0,3.0
7778,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,American Indian/Alaska Native,31.0,4.0,1.0,78.0,78.0,13.0,13.0,0.0,0.0,1.0,3.0,9.0,13.0,1.0
5981,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Asian or Pacific Islander,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Hispanic,216.0,4.0,2.0,408.0,408.0,74.0,68.0,0.0,2492.2,3.0,13.0,52.0,68.0,3.0
7779,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,American Indian/Alaska Native,31.0,4.0,2.0,78.0,78.0,13.0,13.0,0.0,0.0,0.0,3.0,10.0,13.0,0.0
4004,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,White,828.0,4.0,2.0,808.0,808.0,177.0,168.0,4.0,7419.9000000000015,8.0,50.0,106.0,168.0,12.0
5982,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Asian or Pacific Islander,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Hispanic,216.0,4.0,1.0,408.0,408.0,74.0,68.0,2.0,2555.6,15.0,26.0,25.0,68.0,17.0
