County Code,District Code,Subgroup ID,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
1,10017,74,2411.6499999999996,220.0,220.0,314.0,86.0,0.0,0.0,0.0,6.0,80.0,86.0
1,10017,78,2448.1000000000004,175.0,175.0,219.0,63.0,0.0,2.0,2.0,10.0,51.0,63.0
3,10033,80,2480.75,1368.0,1368.0,312.0,279.0,4.0,37.0,41.0,61.0,177.0,279.0
4,10041,78,2523.8999999999996,816.0,816.0,148.0,136.0,2.0,18.0,20.0,39.0,77.0,136.0
4,10041,80,2492.983333333333,1624.0,1624.0,354.0,338.0,20.0,41.0,61.0,105.0,172.0,338.0
5,10058,80,2484.235714285714,2976.0,2976.0,804.0,744.0,84.0,148.0,232.0,232.0,280.0,744.0
7,10074,78,2401.15,623.0,623.0,182.0,163.0,0.0,3.0,3.0,18.0,142.0,163.0
7,10074,74,2370.5,768.0,768.0,186.0,163.0,0.0,3.0,3.0,9.0,151.0,163.0
8,10082,78,2474.15,432.0,432.0,106.0,76.0,1.0,3.0,4.0,19.0,53.0,76.0
8,10082,80,2491.0999999999995,1936.0,1928.0,544.0,445.0,12.0,86.0,98.0,117.0,228.0,443.0
9,10090,78,2497.366666666667,1496.0,1496.0,368.0,328.0,29.0,55.0,84.0,78.0,166.0,328.0
9,10090,80,2491.4166666666665,4424.0,4344.0,1190.0,1086.0,167.0,218.0,386.0,272.0,428.0,1066.0
10,10108,74,2383.8999999999996,427.0,427.0,136.0,99.0,0.0,0.0,0.0,3.0,96.0,99.0
10,10108,80,2468.05,238.0,238.0,76.0,56.0,0.0,6.0,6.0,8.0,42.0,56.0
10,10108,78,2400.1749999999997,2048.0,2048.0,554.0,450.0,0.0,11.0,11.0,29.0,410.0,450.0
12,10124,80,2392.6000000000004,248.0,248.0,126.0,102.0,0.0,0.0,0.0,7.0,95.0,102.0
13,10132,78,2442.633333333333,784.0,784.0,331.0,206.0,0.0,13.0,13.0,37.0,156.0,206.0
14,10140,78,2420.6000000000004,279.0,276.0,1370.0,184.0,0.0,6.0,6.0,22.0,156.0,182.0
15,10157,74,2379.8999999999996,2176.0,2168.0,590.0,516.0,0.0,14.0,14.0,58.0,444.0,514.0
