County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
1,10017,78,2,2431.3,100.0,100.0,110.0,36.0,36.0,0.0,0.0,0.0,2.0,34.0
1,10017,78,1,2464.9,75.0,75.0,109.0,27.0,27.0,0.0,2.0,2.0,8.0,17.0
1,10017,74,2,2403.7,115.0,115.0,157.0,45.0,45.0,0.0,0.0,0.0,0.0,45.0
1,10017,74,1,2419.6,105.0,105.0,157.0,41.0,41.0,0.0,0.0,0.0,6.0,35.0
3,10033,80,2,2470.05,680.0,680.0,156.0,138.0,138.0,0.0,14.0,14.0,30.0,94.0
3,10033,80,1,2491.45,688.0,688.0,156.0,141.0,141.0,4.0,23.0,27.0,31.0,83.0
4,10041,80,1,2512.6666666666665,816.0,816.0,177.0,170.0,170.0,16.0,33.0,49.0,55.0,66.0
4,10041,78,2,2492.2,408.0,408.0,74.0,68.0,68.0,0.0,3.0,3.0,13.0,52.0
4,10041,80,2,2473.3,808.0,808.0,177.0,168.0,168.0,4.0,8.0,12.0,50.0,106.0
4,10041,78,1,2555.6,408.0,408.0,74.0,68.0,68.0,2.0,15.0,17.0,26.0,25.0
5,10058,80,2,2467.4428571428575,1488.0,1488.0,402.0,372.0,372.0,36.0,46.0,82.0,106.0,184.0
5,10058,80,1,2501.0285714285715,1488.0,1488.0,402.0,372.0,372.0,48.0,102.0,150.0,126.0,96.0
7,10074,78,1,2428.0,308.0,308.0,90.0,81.0,81.0,0.0,3.0,3.0,15.0,63.0
7,10074,78,2,2374.3,315.0,315.0,92.0,82.0,82.0,0.0,0.0,0.0,3.0,79.0
7,10074,74,2,2356.8,384.0,384.0,94.0,82.0,82.0,0.0,2.0,2.0,2.0,78.0
7,10074,74,1,2384.2,384.0,384.0,92.0,81.0,81.0,0.0,1.0,1.0,7.0,73.0
8,10082,80,2,2463.7,968.0,968.0,271.0,222.0,222.0,5.0,13.0,18.0,42.0,162.0
8,10082,80,1,2518.5,968.0,960.0,273.0,223.0,221.0,7.0,73.0,80.0,75.0,66.0
8,10082,78,2,2457.4,216.0,216.0,53.0,38.0,38.0,0.0,0.0,0.0,4.0,34.0
8,10082,78,1,2490.9,216.0,216.0,53.0,38.0,38.0,1.0,3.0,4.0,15.0,19.0
9,10090,80,2,2479.3999999999996,2184.0,2144.0,594.0,536.0,526.0,57.0,90.0,147.0,126.0,262.0
9,10090,80,1,2503.433333333333,2240.0,2200.0,596.0,550.0,540.0,110.0,128.0,239.0,146.0,166.0
9,10090,78,2,2477.0333333333333,744.0,744.0,183.0,163.0,163.0,8.0,19.0,27.0,35.0,101.0
9,10090,78,1,2517.7000000000003,752.0,752.0,185.0,165.0,165.0,21.0,36.0,57.0,43.0,65.0
10,10108,78,2,2376.85,1016.0,1016.0,278.0,223.0,223.0,0.0,0.0,0.0,7.0,216.0
10,10108,78,1,2423.5,1032.0,1032.0,276.0,227.0,227.0,0.0,11.0,11.0,22.0,194.0
10,10108,80,1,2484.5,119.0,119.0,38.0,28.0,28.0,0.0,6.0,6.0,5.0,17.0
10,10108,80,2,2451.6,119.0,119.0,38.0,28.0,28.0,0.0,0.0,0.0,3.0,25.0
