,District Code,Agency Name,Total Enrollment,Total Revenue,Revenue per student,Subgroup ID,Count Enrollment per ethnicity,County Code,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
3120,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,White,209.0,,,,,,,,,,,,,
1329,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Hispanic,1581.0,1.0,1.0,2464.9,75.0,75.0,109.0,27.0,27.0,0.0,2.0,2.0,8.0,17.0
7379,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Hawaiian Native/Pacific Islander,33.0,,,,,,,,,,,,,
1328,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Hispanic,1581.0,1.0,2.0,2431.3,100.0,100.0,110.0,36.0,36.0,0.0,0.0,0.0,2.0,34.0
8,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Black,543.0,1.0,2.0,2403.7,115.0,115.0,157.0,45.0,45.0,0.0,0.0,0.0,0.0,45.0
9,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Black,543.0,1.0,1.0,2419.6,105.0,105.0,157.0,41.0,41.0,0.0,0.0,0.0,6.0,35.0
4897,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Asian or Pacific Islander,263.0,,,,,,,,,,,,,
8485,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,Two or More Races,225.0,,,,,,,,,,,,,
6271,10017,ALAMEDA COUNTY OFFICE OF EDUCATION,2870.0,55795000.0,19440.77,American Indian/Alaska Native,16.0,,,,,,,,,,,,,
4921,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Asian or Pacific Islander,0.0,,,,,,,,,,,,,
7399,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Hawaiian Native/Pacific Islander,0.0,,,,,,,,,,,,,
3150,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,White,143.0,3.0,1.0,2491.45,688.0,688.0,156.0,141.0,141.0,4.0,23.0,27.0,31.0,83.0
1359,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Hispanic,51.0,,,,,,,,,,,,,
6289,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,American Indian/Alaska Native,9.0,,,,,,,,,,,,,
30,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Black,0.0,,,,,,,,,,,,,
3149,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,White,143.0,3.0,2.0,2470.05,680.0,680.0,156.0,138.0,138.0,0.0,14.0,14.0,30.0,94.0
8508,10033,AMADOR COUNTY OFFICE OF EDUCATION,222.0,12859000.0,57923.42,Two or More Races,19.0,,,,,,,,,,,,,
6386,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,American Indian/Alaska Native,31.0,,,,,,,,,,,,,
7491,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Hawaiian Native/Pacific Islander,3.0,,,,,,,,,,,,,
5038,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Asian or Pacific Islander,18.0,,,,,,,,,,,,,
8624,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Two or More Races,97.0,,,,,,,,,,,,,
1511,10041,BUTTE COUNTY OFFICE OF EDUCATION,1212.0,83743000.0,69094.88,Hispanic,216.0,4.0,1.0,2555.6,408.0,408.0,74.0,68.0,68.0,2.0,15.0,17.0,26.0,25.0
