,District Code,Agency Name,Total Enrollment,Total Revenue,Revenue per student,Subgroup ID,Count Enrollment per ethnicity,County Code,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
8,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Black,924.0,1.0,2.0,2461.142857142857,2415.0,2408.0,363.0,345.0,344.0,31.0,51.0,82.0,81.0,182.0
1267,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Hispanic,1897.0,1.0,2.0,2508.0571428571425,5250.0,5250.0,770.0,750.0,750.0,147.0,175.0,322.0,196.0,232.0
9,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Black,924.0,1.0,1.0,2470.128571428571,2401.0,2401.0,363.0,343.0,343.0,43.0,74.0,117.0,67.0,159.0
8111,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Two or More Races,1206.0,1.0,2.0,2552.9,3290.0,3290.0,480.0,470.0,470.0,166.0,132.0,298.0,103.0,69.0
4677,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Asian or Pacific Islander,3722.0,1.0,1.0,2570.0714285714284,9576.0,9576.0,1414.0,1368.0,1368.0,543.0,471.0,1014.0,206.0,148.0
4678,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Asian or Pacific Islander,3722.0,1.0,2.0,2581.342857142857,9772.0,9772.0,1414.0,1396.0,1396.0,592.0,407.0,999.0,255.0,142.0
8110,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Two or More Races,1206.0,1.0,1.0,2560.271428571429,3290.0,3290.0,480.0,470.0,470.0,195.0,132.0,327.0,66.0,77.0
1268,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Hispanic,1897.0,1.0,1.0,2518.557142857143,5208.0,5208.0,770.0,744.0,744.0,155.0,229.0,384.0,193.0,167.0
2975,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,White,3292.0,1.0,1.0,2574.4714285714285,9296.0,9296.0,1384.0,1328.0,1328.0,571.0,426.0,997.0,189.0,142.0
2976,61119,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,White,3292.0,1.0,2.0,2565.5714285714284,9366.0,9366.0,1384.0,1338.0,1338.0,486.0,377.0,863.0,294.0,181.0
