County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
1,10017,1,1,2435.4,176.0,176.0,150.0,38.0,38.0,0.0,2.0,2.0,8.0,28.0
1,10017,1,2,2412.8,204.0,204.0,151.0,44.0,44.0,0.0,0.0,0.0,2.0,42.0
3,10033,1,2,2377.8399999999997,896.0,896.0,132.0,112.0,112.0,1.0,8.0,9.0,23.0,80.0
3,10033,1,1,2392.2599999999998,917.0,917.0,132.0,115.0,115.0,2.0,18.0,20.0,20.0,75.0
4,10041,1,1,2451.5142857142855,1316.0,1316.0,197.0,188.0,188.0,10.0,37.0,47.0,57.0,84.0
4,10041,1,2,2424.157142857143,1309.0,1309.0,197.0,187.0,187.0,2.0,9.0,11.0,48.0,128.0
5,10058,1,2,2460.942857142857,1792.0,1792.0,287.0,256.0,256.0,19.0,30.0,49.0,75.0,132.0
5,10058,1,1,2495.7714285714283,1792.0,1792.0,287.0,256.0,256.0,30.0,67.0,97.0,89.0,70.0
7,10074,1,2,2384.675,1015.0,1008.0,150.0,127.0,126.0,1.0,1.0,2.0,9.0,116.0
7,10074,1,1,2418.866666666667,994.0,987.0,135.0,116.0,115.0,0.0,5.0,5.0,16.0,95.0
8,10082,1,2,2451.06,1253.0,1239.0,201.0,161.0,159.0,2.0,9.0,11.0,29.0,121.0
8,10082,1,1,2502.2,1253.0,1239.0,190.0,151.0,149.0,6.0,38.0,45.0,51.0,56.0
9,10090,1,2,2464.4857142857145,2912.0,2877.0,467.0,416.0,411.0,38.0,66.0,104.0,98.0,214.0
9,10090,1,1,2483.942857142857,2975.0,2940.0,469.0,425.0,420.0,72.0,106.0,179.0,102.0,144.0
10,10108,1,2,2363.1000000000004,1295.0,1295.0,210.0,166.0,166.0,0.0,0.0,0.0,6.0,160.0
10,10108,1,1,2392.15,1309.0,1309.0,208.0,168.0,168.0,0.0,8.0,8.0,15.0,145.0
11,10116,1,2,2473.4,343.0,343.0,28.0,16.0,16.0,0.0,2.0,2.0,1.0,13.0
11,10116,1,1,2509.8,329.0,329.0,28.0,14.0,14.0,2.0,2.0,4.0,3.0,7.0
12,10124,1,2,2362.1000000000004,204.0,204.0,59.0,45.0,45.0,0.0,0.0,0.0,1.0,44.0
12,10124,1,1,2397.8500000000004,208.0,208.0,59.0,46.0,46.0,0.0,0.0,0.0,7.0,39.0
13,10132,1,2,2409.55,312.0,312.0,85.0,48.0,48.0,0.0,0.0,0.0,2.0,46.0
13,10132,1,1,2454.45,384.0,384.0,87.0,60.0,60.0,0.0,7.0,7.0,16.0,37.0
14,10140,1,2,2398.6,232.0,228.0,436.0,54.0,53.0,0.0,0.0,0.0,0.0,54.0
14,10140,1,1,2453.3,240.0,240.0,435.0,56.0,56.0,0.0,5.0,5.0,12.0,39.0
15,10157,1,2,2411.5285714285715,9632.0,9527.0,1590.0,1376.0,1361.0,47.0,101.0,149.0,200.0,1027.0
15,10157,1,1,2434.1857142857143,9835.0,9716.0,1584.0,1405.0,1388.0,80.0,222.0,303.0,268.0,835.0
16,10165,1,2,2407.3,287.0,287.0,31.0,24.0,24.0,0.0,0.0,0.0,0.0,24.0
16,10165,1,1,2450.2,322.0,322.0,31.0,26.0,26.0,0.0,1.0,1.0,5.0,20.0
19,10199,1,2,2378.1,4634.0,4480.0,1129.0,637.0,615.0,38.0,82.0,120.0,99.0,418.0
19,10199,1,1,2406.5800000000004,5075.0,4900.0,1147.0,710.0,685.0,137.0,118.0,255.0,95.0,360.0
20,10207,1,2,2417.333333333333,1806.0,1806.0,258.0,237.0,237.0,0.0,0.0,0.0,19.0,218.0
20,10207,1,1,2426.9249999999997,1834.0,1834.0,270.0,247.0,247.0,3.0,20.0,23.0,69.0,155.0
23,10231,1,2,2409.9,198.0,198.0,18.0,17.0,17.0,0.0,0.0,0.0,1.0,16.0
23,10231,1,1,2473.9,198.0,198.0,18.0,17.0,17.0,1.0,3.0,4.0,3.0,10.0
24,10249,1,2,2388.55,1659.0,1659.0,363.0,215.0,215.0,1.0,5.0,6.0,20.0,189.0
24,10249,1,1,2430.575,1701.0,1680.0,359.0,221.0,218.0,4.0,25.0,29.0,45.0,147.0
27,10272,1,2,2461.35,1687.0,1687.0,286.0,216.0,216.0,12.0,16.0,28.0,41.0,147.0
27,10272,1,1,2479.1000000000004,1722.0,1722.0,289.0,221.0,221.0,30.0,43.0,73.0,60.0,88.0
28,10280,1,2,2398.1499999999996,180.0,177.0,68.0,55.0,54.0,0.0,0.0,0.0,2.0,53.0
28,10280,1,1,2453.2,186.0,180.0,69.0,57.0,55.0,0.0,10.0,10.0,11.0,36.0
29,10298,1,2,2504.9857142857145,4032.0,4018.0,677.0,576.0,574.0,87.0,136.0,223.0,165.0,186.0
29,10298,1,1,2522.4,4060.0,4060.0,678.0,580.0,580.0,130.0,186.0,316.0,129.0,135.0
30,10306,1,1,2467.4999999999995,8554.0,8554.0,1728.0,1222.0,1222.0,98.0,181.0,279.0,249.0,694.0
30,10306,1,2,2449.914285714286,8449.0,8449.0,1732.0,1207.0,1207.0,57.0,91.0,148.0,128.0,931.0
31,10314,1,1,2497.8142857142857,1148.0,1134.0,200.0,164.0,162.0,22.0,45.0,67.0,47.0,49.0
31,10314,1,2,2497.9714285714285,1148.0,1148.0,201.0,164.0,164.0,34.0,32.0,66.0,36.0,62.0
33,10330,1,1,2367.557142857143,4116.0,4109.0,662.0,588.0,587.0,9.0,39.0,48.0,117.0,423.0
33,10330,1,2,2354.6857142857143,4109.0,4102.0,664.0,587.0,586.0,2.0,9.0,11.0,34.0,542.0
34,10348,1,2,2409.1333333333337,1554.0,1547.0,335.0,196.0,195.0,0.0,6.0,6.0,18.0,172.0
34,10348,1,1,2444.4666666666667,1617.0,1596.0,332.0,207.0,204.0,1.0,15.0,16.0,42.0,148.0
35,10355,1,1,2468.4,104.0,104.0,19.0,19.0,19.0,0.0,0.0,0.0,7.0,12.0
