County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
1,10017,74,220.0,220.0,314.0,86.0,0.0,0.0,0.0,6.0,80.0,86.0
1,10017,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10017,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10017,78,175.0,175.0,219.0,63.0,0.0,2.0,2.0,10.0,51.0,63.0
1,10017,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10017,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10017,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31609,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31609,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31609,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31609,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31609,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31617,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31617,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31617,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,31617,78,896.0,896.0,166.0,160.0,1.0,3.0,4.0,8.0,148.0,160.0
1,31617,80,656.0,656.0,110.0,108.0,3.0,12.0,15.0,11.0,82.0,108.0
1,31617,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61119,74,5504.0,5496.0,1452.0,1376.0,148.0,250.0,398.0,296.0,682.0,1374.0
1,61119,75,224.0,224.0,32.0,28.0,5.0,7.0,12.0,12.0,4.0,28.0
1,61119,76,22112.0,22112.0,5656.0,5528.0,2270.0,1756.0,4026.0,922.0,580.0,5528.0
1,61119,77,5336.0,5336.0,1364.0,1334.0,298.0,412.0,710.0,358.0,266.0,1334.0
1,61119,78,11952.0,11952.0,3080.0,2988.0,604.0,808.0,1412.0,778.0,798.0,2988.0
1,61119,79,800.0,792.0,128.0,124.0,8.0,26.0,34.0,21.0,68.0,122.0
1,61119,80,21328.0,21328.0,5536.0,5332.0,2114.0,1606.0,3720.0,966.0,646.0,5332.0
1,61119,144,7520.0,7520.0,1920.0,1880.0,722.0,528.0,1250.0,338.0,292.0,1880.0
1,61127,74,848.0,848.0,110.0,106.0,14.0,48.0,62.0,21.0,23.0,106.0
1,61127,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61127,76,8312.0,8304.0,2220.0,2078.0,1066.0,654.0,1720.0,230.0,128.0,2076.0
1,61127,77,196.0,196.0,28.0,28.0,7.0,7.0,14.0,9.0,5.0,28.0
1,61127,78,5000.0,5000.0,1324.0,1250.0,332.0,438.0,770.0,282.0,198.0,1250.0
1,61127,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61127,80,11864.0,11864.0,3096.0,2966.0,1546.0,888.0,2434.0,352.0,180.0,2966.0
1,61127,144,4352.0,4344.0,1108.0,1088.0,493.0,314.0,808.0,162.0,118.0,1086.0
