,County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
0,1,10017,74,220.0,220.0,314.0,86.0,86.0,0.0,0.0,0.0,25.0,319.0
1,1,10017,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,10017,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,10017,78,175.0,175.0,219.0,63.0,63.0,0.0,9.0,9.0,45.0,198.0
4,1,10017,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,10017,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,10017,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1,31609,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,31609,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,31609,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,31609,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1,31609,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1,31617,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1,31617,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1,31617,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,31617,78,896.0,896.0,166.0,160.0,160.0,3.0,18.0,21.0,23.0,916.0
16,1,31617,80,656.0,656.0,110.0,108.0,108.0,14.0,60.0,74.0,46.0,312.0
17,1,31617,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1,61119,74,5504.0,5496.0,1452.0,1376.0,1374.0,2469.0,4032.0,6502.0,4613.0,10902.0
19,1,61119,75,224.0,224.0,32.0,28.0,28.0,10.0,14.0,24.0,24.0,8.0
20,1,61119,76,22112.0,22112.0,5656.0,5528.0,5528.0,36340.0,27889.0,64228.0,14872.0,9348.0
