,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment
0,ABC UNIFIED,1791.0,9425.0,1302.0,7459.0,63.0,158.0,524.0,20722.0
1,ACALANES UNION HIGH,95.0,508.0,3622.0,850.0,9.0,16.0,402.0,5502.0
2,ACKERMAN CHARTER,4.0,74.0,460.0,9.0,2.0,0.0,37.0,586.0
3,ACTON-AGUA DULCE UNIFIED,705.0,3466.0,4199.0,536.0,36.0,18.0,1040.0,10000.0
4,ADELANTO ELEMENTARY,2156.0,6327.0,1010.0,139.0,35.0,88.0,517.0,10272.0
5,ALAMEDA CNTY. STUDENT EXCHANGE PROG.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ALAMEDA COUNTY OFFICE OF EDUCATION,543.0,1581.0,209.0,263.0,16.0,33.0,225.0,2870.0
7,ALAMEDA UNIFIED,924.0,1897.0,3292.0,3722.0,33.0,85.0,1206.0,11159.0
8,ALBANY CITY UNIFIED,117.0,603.0,1368.0,1080.0,5.0,7.0,522.0,3702.0
9,ALEXANDER VALLEY UNION ELEMENTARY,1.0,48.0,80.0,0.0,0.0,0.0,1.0,130.0
10,ALHAMBRA UNIFIED,112.0,7071.0,349.0,9084.0,33.0,16.0,406.0,17071.0
11,ALISAL UNION,34.0,8414.0,117.0,131.0,4.0,18.0,517.0,9235.0
12,ALLENSWORTH ELEMENTARY,1.0,77.0,0.0,0.0,0.0,0.0,0.0,78.0
13,ALPAUGH UNIFIED,16.0,501.0,213.0,15.0,4.0,0.0,44.0,793.0
14,ALPINE COUNTY OFFICE OF EDUCATION,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
15,ALPINE COUNTY UNIFIED,0.0,4.0,42.0,0.0,32.0,0.0,2.0,80.0
16,ALPINE UNION ELEMENTARY,37.0,400.0,1111.0,35.0,81.0,7.0,74.0,1745.0
17,ALTA LOMA ELEMENTARY,381.0,2676.0,2281.0,501.0,31.0,28.0,90.0,5988.0
18,ALTA VISTA ELEMENTARY,0.0,449.0,76.0,5.0,4.0,19.0,2.0,555.0
19,ALTA-DUTCH FLAT UNION ELEMENTARY,0.0,6.0,91.0,1.0,1.0,0.0,5.0,104.0
20,ALUM ROCK UNION ELEMENTARY,156.0,9154.0,194.0,1868.0,21.0,97.0,134.0,11624.0
21,ALVIEW-DAIRYLAND UNION ELEMENTARY,0.0,213.0,156.0,10.0,1.0,0.0,1.0,381.0
22,ALVINA ELEMENTARY,0.0,154.0,24.0,1.0,2.0,1.0,0.0,182.0
23,ALVORD UNIFIED,720.0,15161.0,2034.0,949.0,40.0,85.0,245.0,19234.0
24,AMADOR COUNTY OFFICE OF EDUCATION,0.0,51.0,143.0,0.0,9.0,0.0,19.0,222.0
25,AMADOR COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AMADOR COUNTY UNIFIED,23.0,780.0,2652.0,54.0,101.0,9.0,245.0,3864.0
27,ANAHEIM ELEMENTARY,265.0,15961.0,873.0,1046.0,18.0,67.0,328.0,18558.0
28,ANAHEIM UNION HIGH,716.0,20555.0,3135.0,5287.0,145.0,167.0,726.0,30731.0
29,ANDERSON UNION HIGH,30.0,293.0,1274.0,49.0,104.0,10.0,52.0,1812.0
30,ANDERSON VALLEY UNIFIED,5.0,384.0,110.0,1.0,4.0,0.0,3.0,507.0
31,ANTELOPE ELEMENTARY,9.0,187.0,568.0,11.0,16.0,1.0,24.0,816.0
32,ANTELOPE VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ANTELOPE VALLEY UNION HIGH,4207.0,14647.0,3260.0,628.0,77.0,46.0,1030.0,23895.0
