District Code,Agency Name,Total Enrollment,Total Revenue,Revenue per student,Subgroup ID,Count Enrollment per ethnicity,County Code,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Disadvantaged,Percentate Std Exceed,Percentage Std Met,Percentage Std Nearly Met,Percentage Std Not Met,Percentage Std Met and Above,Pass,Fail
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Two or More Races,1206.0,1.0,1.0,2574.514285714285,2660.0,2660.0,388.0,380.0,380.0,182.0,111.0,293.0,44.0,43.0,Not Disadvantaged,48.0,29.0,12.0,11.0,77.0,77.0,23.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Asian or Asian/Pacific Islander,3722.0,1.0,1.0,2590.3,6146.0,6146.0,895.0,878.0,878.0,419.0,299.0,718.0,106.0,54.0,Not Disadvantaged,48.0,34.0,12.0,6.0,82.0,82.0,18.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Asian or Asian/Pacific Islander,3722.0,1.0,2.0,2600.6857142857143,6181.0,6181.0,895.0,883.0,883.0,458.0,240.0,698.0,124.0,61.0,Not Disadvantaged,52.0,27.0,14.0,7.0,79.0,79.0,21.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Asian or Asian/Pacific Islander,3722.0,1.0,2.0,2548.0714285714284,3591.0,3591.0,519.0,513.0,513.0,134.0,167.0,301.0,131.0,81.0,Disadvantaged,26.0,33.0,26.0,16.0,59.0,59.0,42.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Two or More Races,1206.0,1.0,1.0,2410.7666666666664,630.0,630.0,60.0,60.0,60.0,5.0,9.0,14.0,18.0,28.0,Disadvantaged,8.0,15.0,30.0,47.0,23.0,23.0,77.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Asian or Asian/Pacific Islander,3722.0,1.0,1.0,2533.8142857142857,3430.0,3430.0,519.0,490.0,490.0,124.0,172.0,296.0,100.0,94.0,Disadvantaged,25.0,35.0,20.0,19.0,60.0,60.0,39.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Two or More Races,1206.0,1.0,2.0,2569.614285714285,2653.0,2653.0,388.0,379.0,379.0,154.0,116.0,270.0,72.0,37.0,Not Disadvantaged,41.0,31.0,19.0,10.0,71.0,72.0,29.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Two or More Races,1206.0,1.0,2.0,2433.133333333333,637.0,637.0,60.0,60.0,60.0,5.0,13.0,18.0,22.0,20.0,Disadvantaged,8.0,22.0,37.0,33.0,30.0,30.0,70.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Black,924.0,1.0,1.0,2437.2285714285713,1400.0,1400.0,214.0,200.0,200.0,12.0,33.0,45.0,38.0,117.0,Disadvantaged,6.0,16.0,19.0,58.0,22.0,22.0,77.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Black,924.0,1.0,2.0,2501.428571428572,1001.0,1001.0,149.0,143.0,143.0,22.0,33.0,55.0,30.0,58.0,Not Disadvantaged,15.0,23.0,21.0,41.0,38.0,38.0,62.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Hispanic,1897.0,1.0,1.0,2477.5714285714284,2009.0,2009.0,298.0,287.0,287.0,22.0,68.0,90.0,90.0,107.0,Disadvantaged,8.0,24.0,31.0,37.0,31.0,32.0,68.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,White,3292.0,1.0,1.0,2498.9285714285706,1197.0,1197.0,177.0,171.0,171.0,27.0,53.0,80.0,30.0,61.0,Disadvantaged,16.0,31.0,18.0,36.0,47.0,47.0,54.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Hispanic,1897.0,1.0,2.0,2467.114285714285,2044.0,2044.0,298.0,292.0,292.0,17.0,54.0,71.0,83.0,138.0,Disadvantaged,6.0,18.0,28.0,47.0,24.0,24.0,75.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Hispanic,1897.0,1.0,2.0,2533.642857142857,3206.0,3206.0,472.0,458.0,458.0,130.0,121.0,251.0,113.0,94.0,Not Disadvantaged,28.0,26.0,25.0,21.0,55.0,54.0,46.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,Hispanic,1897.0,1.0,1.0,2544.271428571429,3199.0,3199.0,472.0,457.0,457.0,133.0,161.0,294.0,103.0,60.0,Not Disadvantaged,29.0,35.0,23.0,13.0,64.0,64.0,36.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,White,3292.0,1.0,2.0,2576.2428571428572,8155.0,8155.0,1207.0,1165.0,1165.0,463.0,339.0,802.0,248.0,115.0,Not Disadvantaged,40.0,29.0,21.0,10.0,69.0,69.0,31.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,White,3292.0,1.0,2.0,2494.442857142857,1211.0,1211.0,177.0,173.0,173.0,23.0,38.0,61.0,46.0,66.0,Disadvantaged,13.0,22.0,27.0,38.0,35.0,35.0,65.0
61119.0,ALAMEDA UNIFIED,11159.0,96642000.0,8660.45,White,3292.0,1.0,1.0,2585.8285714285707,8099.0,8099.0,1207.0,1157.0,1157.0,544.0,373.0,917.0,159.0,81.0,Not Disadvantaged,47.0,32.0,14.0,7.0,79.0,79.0,21.0
