,Unnamed: 0,District Code,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment,Total Revenue,Revenue per student
0,0,64212.0,ABC UNIFIED,63.0,1791.0,9425.0,1302.0,158.0,524.0,7459.0,20722.0,226251000.0,10918.4
1,1,61630.0,ACALANES UNION HIGH,9.0,95.0,508.0,3622.0,16.0,402.0,850.0,5502.0,37710000.0,6853.87
2,2,66761.0,ACKERMAN CHARTER,2.0,4.0,74.0,460.0,0.0,37.0,9.0,586.0,4410000.0,7525.6
3,3,75309.0,ACTON-AGUA DULCE UNIFIED,36.0,705.0,3466.0,4199.0,18.0,1040.0,536.0,10000.0,29983000.0,2998.3
4,4,67587.0,ADELANTO ELEMENTARY,35.0,2156.0,6327.0,1010.0,88.0,517.0,139.0,10272.0,120023000.0,11684.48
6,6,61119.0,ALAMEDA UNIFIED,33.0,924.0,1897.0,3292.0,85.0,1206.0,3722.0,11159.0,96642000.0,8660.45
7,7,61127.0,ALBANY CITY UNIFIED,5.0,117.0,603.0,1368.0,7.0,522.0,1080.0,3702.0,58211000.0,15724.2
8,8,70599.0,ALEXANDER VALLEY UNION ELEMENTARY,0.0,1.0,48.0,80.0,0.0,1.0,0.0,130.0,1123000.0,8638.46
9,9,75713.0,ALHAMBRA UNIFIED,33.0,112.0,7071.0,349.0,16.0,406.0,9084.0,17071.0,250138000.0,14652.8
10,10,65961.0,ALISAL UNION,4.0,34.0,8414.0,117.0,18.0,517.0,131.0,9235.0,109541000.0,11861.51
11,11,71795.0,ALLENSWORTH ELEMENTARY,0.0,1.0,77.0,0.0,0.0,0.0,0.0,78.0,1105000.0,14166.67
12,12,71803.0,ALPAUGH UNIFIED,4.0,16.0,501.0,213.0,0.0,44.0,15.0,793.0,5021000.0,6331.65
13,13,61333.0,ALPINE COUNTY UNIFIED,32.0,0.0,4.0,42.0,0.0,2.0,0.0,80.0,1714000.0,21425.0
14,14,67967.0,ALPINE UNION ELEMENTARY,81.0,37.0,400.0,1111.0,7.0,74.0,35.0,1745.0,13433000.0,7697.99
15,15,67595.0,ALTA LOMA ELEMENTARY,31.0,381.0,2676.0,2281.0,28.0,90.0,501.0,5988.0,55109000.0,9203.24
16,16,71811.0,ALTA VISTA ELEMENTARY,4.0,0.0,449.0,76.0,19.0,2.0,5.0,555.0,7103000.0,12798.2
17,17,66779.0,ALTA-DUTCH FLAT UNION ELEMENTARY,1.0,0.0,6.0,91.0,0.0,5.0,1.0,104.0,794000.0,7634.62
18,18,69369.0,ALUM ROCK UNION ELEMENTARY,21.0,156.0,9154.0,194.0,97.0,134.0,1868.0,11624.0,113219000.0,9740.11
19,19,65177.0,ALVIEW-DAIRYLAND UNION ELEMENTARY,1.0,0.0,213.0,156.0,0.0,1.0,10.0,381.0,3352000.0,8797.9
20,20,61994.0,ALVINA ELEMENTARY,2.0,0.0,154.0,24.0,1.0,0.0,1.0,182.0,1769000.0,9719.78
21,21,66977.0,ALVORD UNIFIED,40.0,720.0,15161.0,2034.0,85.0,245.0,949.0,19234.0,222608000.0,11573.67
23,23,73981.0,AMADOR COUNTY UNIFIED,101.0,23.0,780.0,2652.0,9.0,245.0,54.0,3864.0,17515000.0,4532.87
24,24,66423.0,ANAHEIM ELEMENTARY,18.0,265.0,15961.0,873.0,67.0,328.0,1046.0,18558.0,164715000.0,8875.69
25,25,66431.0,ANAHEIM UNION HIGH,145.0,716.0,20555.0,3135.0,167.0,726.0,5287.0,30731.0,349807000.0,11382.87
26,26,69856.0,ANDERSON UNION HIGH,104.0,30.0,293.0,1274.0,10.0,52.0,49.0,1812.0,17738000.0,9789.18
27,27,65540.0,ANDERSON VALLEY UNIFIED,4.0,5.0,384.0,110.0,0.0,3.0,1.0,507.0,6682000.0,13179.49
28,28,71472.0,ANTELOPE ELEMENTARY,16.0,9.0,187.0,568.0,1.0,24.0,11.0,816.0,7755000.0,9503.68
29,29,64246.0,ANTELOPE VALLEY UNION HIGH,77.0,4207.0,14647.0,3260.0,46.0,1030.0,628.0,23895.0,288343000.0,12067.09
30,30,61648.0,ANTIOCH UNIFIED,104.0,4333.0,7533.0,2623.0,214.0,889.0,1630.0,17326.0,167684000.0,9678.17
31,31,75077.0,APPLE VALLEY UNIFIED,58.0,1287.0,6520.0,5718.0,72.0,291.0,424.0,14370.0,140868000.0,9802.92
32,32,64261.0,ARCADIA UNIFIED,12.0,170.0,1380.0,1290.0,8.0,182.0,6483.0,9525.0,77631000.0,8150.24
33,33,62679.0,ARCATA ELEMENTARY,34.0,13.0,159.0,715.0,3.0,121.0,19.0,1064.0,11841000.0,11128.76
34,34,67280.0,ARCOHE UNION ELEMENTARY,5.0,12.0,204.0,198.0,2.0,23.0,7.0,451.0,4052000.0,8984.48
35,35,65557.0,ARENA UNION ELEMENTARY,28.0,0.0,154.0,113.0,0.0,18.0,0.0,313.0,0.0,0.0
36,36,63875.0,ARMONA UNION ELEMENTARY,27.0,54.0,1051.0,348.0,2.0,38.0,22.0,1542.0,14613000.0,9476.65
37,38,63313.0,ARVIN UNION,5.0,16.0,2902.0,95.0,0.0,3.0,7.0,3028.0,40148000.0,13258.92
38,39,68700.0,ATASCADERO UNIFIED,47.0,64.0,1288.0,2983.0,5.0,132.0,108.0,4627.0,28220000.0,6098.98
39,40,65631.0,ATWATER ELEMENTARY,35.0,113.0,3511.0,969.0,13.0,105.0,218.0,4964.0,60592000.0,12206.29
40,41,66787.0,AUBURN UNION ELEMENTARY,21.0,28.0,626.0,1209.0,2.0,100.0,49.0,2035.0,15804000.0,7766.09
41,42,64279.0,AZUSA UNIFIED,19.0,116.0,8073.0,296.0,1.0,56.0,184.0,8745.0,115452000.0,13202.06
42,43,73858.0,BAKER VALLEY UNIFIED,0.0,0.0,110.0,14.0,0.0,0.0,0.0,124.0,964000.0,7774.19
43,44,63321.0,BAKERSFIELD CITY,150.0,2422.0,23959.0,2899.0,37.0,537.0,368.0,30372.0,380895000.0,12540.99
44,45,64287.0,BALDWIN PARK UNIFIED,230.0,564.0,14575.0,577.0,41.0,697.0,1049.0,17733.0,200607000.0,11312.64
45,46,69104.0,BALLARD ELEMENTARY,0.0,1.0,18.0,105.0,0.0,2.0,3.0,129.0,640000.0,4961.24
46,47,65649.0,BALLICO-CRESSEY ELEMENTARY,3.0,5.0,211.0,104.0,0.0,39.0,11.0,373.0,3684000.0,9876.68
47,48,61382.0,BANGOR UNION ELEMENTARY,4.0,0.0,13.0,67.0,0.0,3.0,0.0,87.0,1125000.0,12931.03
48,49,66985.0,BANNING UNIFIED,128.0,365.0,3072.0,580.0,7.0,140.0,249.0,4541.0,53443000.0,11768.99
