,Agency Name,State Name [District] Latest available year,Total Local Revenue,Total State Revenue,Total Federal Revenue,Total Revenue
0,ABC UNIFIED,California,171312000.0,39046000.0,15893000.0,226251000.0
1,ACALANES UNION HIGH,California,27481000.0,8624000.0,1605000.0,37710000.0
2,ACKERMAN CHARTER,California,3714000.0,473000.0,223000.0,4410000.0
3,ACTON-AGUA DULCE UNIFIED,California,25820000.0,2913000.0,1250000.0,29983000.0
4,ADELANTO ELEMENTARY,California,96654000.0,12463000.0,10906000.0,120023000.0
5,ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,0.0,0.0,0.0,0.0
6,ALAMEDA COUNTY OFFICE OF EDUCATION,California,40170000.0,9711000.0,5914000.0,55795000.0
7,ALAMEDA UNIFIED,California,76372000.0,14285000.0,5985000.0,96642000.0
8,ALBANY CITY UNIFIED,California,45387000.0,6761000.0,6063000.0,58211000.0
9,ALEXANDER VALLEY UNION ELEMENTARY,California,759000.0,303000.0,61000.0,1123000.0
10,ALHAMBRA UNIFIED,California,149777000.0,69201000.0,31160000.0,250138000.0
11,ALISAL UNION,California,83568000.0,13610000.0,12363000.0,109541000.0
12,ALLENSWORTH ELEMENTARY,California,871000.0,116000.0,118000.0,1105000.0
13,ALPAUGH UNIFIED,California,3832000.0,565000.0,624000.0,5021000.0
14,ALPINE COUNTY OFFICE OF EDUCATION,California,1108000.0,172000.0,167000.0,1447000.0
15,ALPINE COUNTY UNIFIED,California,888000.0,308000.0,518000.0,1714000.0
16,ALPINE UNION ELEMENTARY,California,10410000.0,2122000.0,901000.0,13433000.0
17,ALTA LOMA ELEMENTARY,California,45511000.0,6821000.0,2777000.0,55109000.0
18,ALTA VISTA ELEMENTARY,California,5325000.0,783000.0,995000.0,7103000.0
19,ALTA-DUTCH FLAT UNION ELEMENTARY,California,566000.0,133000.0,95000.0,794000.0
20,ALUM ROCK UNION ELEMENTARY,California,81282000.0,17682000.0,14255000.0,113219000.0
21,ALVIEW-DAIRYLAND UNION ELEMENTARY,California,2466000.0,487000.0,399000.0,3352000.0
22,ALVINA ELEMENTARY,California,1532000.0,136000.0,101000.0,1769000.0
23,ALVORD UNIFIED,California,169894000.0,32776000.0,19938000.0,222608000.0
24,AMADOR COUNTY OFFICE OF EDUCATION,California,10585000.0,1079000.0,1195000.0,12859000.0
25,AMADOR COUNTY ROP,California,0.0,0.0,0.0,0.0
26,AMADOR COUNTY UNIFIED,California,10336000.0,5267000.0,1912000.0,17515000.0
27,ANAHEIM ELEMENTARY,California,116382000.0,33643000.0,14690000.0,164715000.0
28,ANAHEIM UNION HIGH,California,252912000.0,58792000.0,38103000.0,349807000.0
29,ANDERSON UNION HIGH,California,13268000.0,2939000.0,1531000.0,17738000.0
30,ANDERSON VALLEY UNIFIED,California,4312000.0,1415000.0,955000.0,6682000.0
31,ANTELOPE ELEMENTARY,California,6285000.0,826000.0,644000.0,7755000.0
32,ANTELOPE VALLEY ROP,California,0.0,0.0,0.0,0.0
33,ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,14897000.0,0.0,0.0,14897000.0
34,ANTELOPE VALLEY UNION HIGH,California,230399000.0,35600000.0,22344000.0,288343000.0
35,ANTIOCH UNIFIED,California,129247000.0,24116000.0,14321000.0,167684000.0
36,APPLE VALLEY UNIFIED,California,106976000.0,21917000.0,11975000.0,140868000.0
37,ARCADIA UNIFIED,California,59217000.0,14194000.0,4220000.0,77631000.0
38,ARCATA ELEMENTARY,California,8849000.0,1892000.0,1100000.0,11841000.0
39,ARCOHE UNION ELEMENTARY,California,2966000.0,657000.0,429000.0,4052000.0
40,ARENA UNION ELEMENTARY,California,0.0,0.0,0.0,0.0
41,ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,1825000.0,990000.0,544000.0,3359000.0
42,ARMONA UNION ELEMENTARY,California,11716000.0,1396000.0,1501000.0,14613000.0
43,AROMAS - SAN JUAN UNIFIED,California,2921000.0,1383000.0,805000.0,5109000.0
44,ARVIN UNION,California,31199000.0,4164000.0,4785000.0,40148000.0
45,ATASCADERO UNIFIED,California,17888000.0,7405000.0,2927000.0,28220000.0
46,ATWATER ELEMENTARY,California,45728000.0,8162000.0,6702000.0,60592000.0
47,AUBURN UNION ELEMENTARY,California,11011000.0,3076000.0,1717000.0,15804000.0
48,AZUSA UNIFIED,California,82952000.0,19562000.0,12938000.0,115452000.0
