County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
1,10017,200,1,2431.8,68.0,68.0,50.0,16.0,16.0,0.0,0.0,0.0,3.0,13.0
1,10017,200,2,2403.5,72.0,72.0,50.0,17.0,17.0,0.0,0.0,0.0,0.0,17.0
3,10033,226,1,2518.15,322.0,322.0,33.0,33.0,33.0,2.0,8.0,10.0,10.0,13.0
3,10033,226,2,2493.1000000000004,315.0,315.0,33.0,32.0,32.0,0.0,6.0,6.0,11.0,15.0
3,10033,206,1,2443.5,280.0,280.0,14.0,12.0,12.0,0.0,2.0,2.0,2.0,8.0
3,10033,206,2,2394.4,280.0,280.0,14.0,12.0,12.0,0.0,1.0,1.0,1.0,10.0
4,10041,204,1,2557.1,315.0,315.0,16.0,15.0,15.0,1.0,4.0,5.0,8.0,2.0
4,10041,204,2,2498.8,315.0,315.0,16.0,15.0,15.0,0.0,1.0,1.0,3.0,11.0
4,10041,206,1,2508.233333333333,504.0,504.0,48.0,47.0,47.0,4.0,8.0,12.0,17.0,18.0
4,10041,206,2,2464.1,497.0,497.0,48.0,46.0,46.0,1.0,1.0,2.0,12.0,32.0
5,10058,226,2,2472.2833333333333,819.0,819.0,111.0,107.0,107.0,10.0,16.0,26.0,28.0,53.0
5,10058,226,1,2516.5,819.0,819.0,111.0,107.0,107.0,18.0,32.0,50.0,30.0,27.0
5,10058,206,2,2482.6666666666665,483.0,483.0,47.0,41.0,41.0,3.0,3.0,6.0,14.0,21.0
5,10058,206,1,2521.0333333333333,483.0,483.0,47.0,41.0,41.0,3.0,9.0,12.0,19.0,10.0
7,10074,204,1,2443.7,216.0,216.0,23.0,22.0,22.0,0.0,1.0,1.0,4.0,17.0
7,10074,204,2,2389.2,228.0,228.0,23.0,22.0,22.0,0.0,0.0,0.0,0.0,22.0
7,10074,200,2,2351.4,280.0,280.0,33.0,31.0,31.0,0.0,1.0,1.0,0.0,30.0
7,10074,200,1,2378.7,273.0,273.0,32.0,30.0,30.0,0.0,0.0,0.0,2.0,28.0
8,10082,226,2,2509.45,357.0,357.0,36.0,31.0,31.0,1.0,2.0,3.0,9.0,19.0
8,10082,226,1,2570.6,350.0,350.0,36.0,31.0,31.0,2.0,16.0,18.0,10.0,3.0
8,10082,206,2,2449.5,490.0,490.0,49.0,41.0,41.0,0.0,0.0,0.0,5.0,36.0
8,10082,206,1,2515.6499999999996,497.0,490.0,50.0,42.0,41.0,0.0,8.0,8.0,19.0,14.0
9,10090,226,1,2566.2599999999998,1239.0,1225.0,175.0,161.0,159.0,47.0,44.0,91.0,47.0,23.0
9,10090,226,2,2531.26,1232.0,1218.0,174.0,160.0,158.0,23.0,37.0,60.0,47.0,54.0
9,10090,206,2,2460.0,679.0,658.0,84.0,74.0,73.0,4.0,3.0,7.0,8.0,59.0
9,10090,206,1,2494.5,721.0,700.0,84.0,78.0,76.0,5.0,13.0,18.0,20.0,39.0
9,10090,204,2,2445.1,378.0,378.0,29.0,26.0,26.0,0.0,2.0,2.0,1.0,23.0
9,10090,204,1,2504.8,385.0,385.0,29.0,26.0,26.0,2.0,5.0,7.0,6.0,13.0
10,10108,206,1,2484.5,102.0,102.0,14.0,11.0,11.0,0.0,3.0,3.0,2.0,6.0
10,10108,204,2,2376.8,805.0,805.0,116.0,93.0,93.0,0.0,0.0,0.0,1.0,92.0
10,10108,204,1,2422.1,819.0,819.0,115.0,95.0,95.0,0.0,3.0,3.0,10.0,82.0
10,10108,200,2,2363.2,145.0,145.0,26.0,19.0,19.0,0.0,0.0,0.0,0.0,19.0
10,10108,200,1,2404.6,150.0,150.0,26.0,19.0,19.0,0.0,0.0,0.0,1.0,18.0
10,10108,206,2,2451.6,102.0,102.0,14.0,11.0,11.0,0.0,0.0,0.0,1.0,10.0
12,10124,206,1,2389.2,66.0,66.0,21.0,18.0,18.0,0.0,0.0,0.0,1.0,17.0
12,10124,206,2,2377.2,60.0,60.0,21.0,16.0,16.0,0.0,0.0,0.0,0.0,16.0
13,10132,204,1,2448.5,324.0,324.0,72.0,50.0,50.0,0.0,3.0,3.0,15.0,32.0
13,10132,204,2,2413.7,258.0,258.0,54.0,33.0,33.0,0.0,0.0,0.0,1.0,32.0
14,10140,204,1,2447.8,88.0,88.0,319.0,43.0,43.0,0.0,3.0,3.0,10.0,30.0
14,10140,204,2,2395.3,86.0,84.0,321.0,42.0,41.0,0.0,0.0,0.0,0.0,42.0
15,10157,224,2,2445.6142857142854,952.0,924.0,151.0,136.0,132.0,6.0,18.0,24.0,29.0,81.0
15,10157,226,1,2492.371428571429,2212.0,2205.0,352.0,316.0,315.0,40.0,84.0,124.0,79.0,112.0
