,Unnamed: 0,District Code,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment,Total Revenue,Revenue per student,County Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Student tested %
0,0.0,64212.0,ABC UNIFIED,63.0,1791.0,9425.0,1302.0,158.0,524.0,7459.0,20722.0,226251000.0,10918.4,266.0,1216.0,21.0,35785.75,153685.0,153643.0,22284.0,21899.0,21893.0,7069.0,5922.0,12994.0,4709.0,4193.0,105.67995367242544
1,1.0,61630.0,ACALANES UNION HIGH,9.0,95.0,508.0,3622.0,16.0,402.0,850.0,5502.0,37710000.0,6853.87,84.0,1058.0,18.0,31919.500000000004,2639.0,2639.0,2816.0,2639.0,2639.0,1259.0,764.0,2023.0,370.0,246.0,47.96437659033079
2,2.0,66761.0,ACKERMAN CHARTER,2.0,4.0,74.0,460.0,0.0,37.0,9.0,586.0,4410000.0,7525.6,124.0,316.0,6.0,10097.45,3960.0,3960.0,603.0,593.0,593.0,205.0,197.0,402.0,145.0,46.0,101.19453924914677
3,3.0,75309.0,ACTON-AGUA DULCE UNIFIED,36.0,705.0,3466.0,4199.0,18.0,1040.0,536.0,10000.0,29983000.0,2998.3,76.0,316.0,6.0,10031.67142857143,8183.0,8183.0,1194.0,1169.0,1169.0,161.0,327.0,488.0,369.0,312.0,11.690000000000001
4,4.0,67587.0,ADELANTO ELEMENTARY,35.0,2156.0,6327.0,1010.0,88.0,517.0,139.0,10272.0,120023000.0,11684.48,432.0,1062.0,18.0,29543.614285714284,80171.0,80136.0,11727.0,11286.0,11281.0,460.0,1374.0,1834.0,2745.0,6705.0,109.8714953271028
5,5.0,10017.0,ALAMEDA COUNTY OFFICE OF EDUCATION,16.0,543.0,1581.0,209.0,33.0,225.0,263.0,2870.0,55795000.0,19440.77,4.0,304.0,6.0,9719.5,316.0,316.0,246.0,70.0,70.0,0.0,1.0,1.0,8.0,61.0,2.4390243902439024
6,6.0,61119.0,ALAMEDA UNIFIED,33.0,924.0,1897.0,3292.0,85.0,1206.0,3722.0,11159.0,96642000.0,8660.45,14.0,1216.0,21.0,35393.81428571429,65233.0,65219.0,9528.0,9243.0,9241.0,3079.0,2684.0,5763.0,1832.0,1648.0,82.83000268841295
7,7.0,61127.0,ALBANY CITY UNIFIED,5.0,117.0,603.0,1368.0,7.0,522.0,1080.0,3702.0,58211000.0,15724.2,8.0,756.0,12.0,20660.414285714287,25837.0,25823.0,3874.0,3691.0,3689.0,1719.0,1147.0,2866.0,513.0,312.0,99.70286331712587
8,8.0,70599.0,ALEXANDER VALLEY UNION ELEMENTARY,0.0,1.0,48.0,80.0,0.0,1.0,0.0,130.0,1123000.0,8638.46,98.0,160.0,3.0,4981.15,320.0,320.0,48.0,46.0,46.0,19.0,10.0,29.0,12.0,5.0,35.38461538461539
9,9.0,75713.0,ALHAMBRA UNIFIED,33.0,112.0,7071.0,349.0,16.0,406.0,9084.0,17071.0,250138000.0,14652.8,190.0,910.0,15.0,25502.95714285714,116228.0,116214.0,16889.0,16604.0,16602.0,5276.0,4596.0,9873.0,3344.0,3387.0,97.26436646945112
10,10.0,65961.0,ALISAL UNION,4.0,34.0,8414.0,117.0,18.0,517.0,131.0,9235.0,109541000.0,11861.51,162.0,468.0,9.0,14782.425,39028.0,38792.0,9812.0,9701.0,9644.0,570.0,1751.0,2321.0,2643.0,4737.0,105.04602057390362
11,11.0,71795.0,ALLENSWORTH ELEMENTARY,0.0,1.0,77.0,0.0,0.0,0.0,0.0,78.0,1105000.0,14166.67,108.0,156.0,3.0,4867.0,480.0,480.0,22.0,22.0,22.0,1.0,8.0,9.0,4.0,9.0,28.205128205128204
12,12.0,71803.0,ALPAUGH UNIFIED,4.0,16.0,501.0,213.0,0.0,44.0,15.0,793.0,5021000.0,6331.65,108.0,156.0,3.0,4854.642857142857,2282.0,2282.0,332.0,326.0,326.0,5.0,37.0,42.0,81.0,203.0,41.10970996216898
13,13.0,61333.0,ALPINE COUNTY UNIFIED,32.0,0.0,4.0,42.0,0.0,2.0,0.0,80.0,1714000.0,21425.0,,,,,,,,,,,,,,,
14,14.0,67967.0,ALPINE UNION ELEMENTARY,81.0,37.0,400.0,1111.0,7.0,74.0,35.0,1745.0,13433000.0,7697.99,222.0,466.0,9.0,14971.266666666665,11850.0,11850.0,2021.0,1929.0,1929.0,308.0,647.0,955.0,562.0,412.0,110.54441260744984
15,15.0,67595.0,ALTA LOMA ELEMENTARY,31.0,381.0,2676.0,2281.0,28.0,90.0,501.0,5988.0,55109000.0,9203.24,432.0,1058.0,18.0,30443.61666666667,46920.0,46902.0,7841.0,7717.0,7714.0,2009.0,2427.0,4436.0,1887.0,1394.0,128.874415497662
16,16.0,71811.0,ALTA VISTA ELEMENTARY,4.0,0.0,449.0,76.0,19.0,2.0,5.0,555.0,7103000.0,12798.2,216.0,316.0,6.0,9690.45,4206.0,4200.0,655.0,643.0,642.0,4.0,60.0,64.0,168.0,411.0,115.85585585585585
17,17.0,66779.0,ALTA-DUTCH FLAT UNION ELEMENTARY,1.0,0.0,6.0,91.0,0.0,5.0,1.0,104.0,794000.0,7634.62,62.0,160.0,3.0,5017.266666666666,750.0,750.0,76.0,75.0,75.0,23.0,21.0,44.0,24.0,7.0,72.11538461538461
18,18.0,69369.0,ALUM ROCK UNION ELEMENTARY,21.0,156.0,9154.0,194.0,97.0,134.0,1868.0,11624.0,113219000.0,9740.11,602.0,1216.0,21.0,34970.87166666667,81258.0,81228.0,13622.0,13435.0,13430.0,1659.0,2929.0,4588.0,3603.0,5239.0,115.57983482450102
19,19.0,65177.0,ALVIEW-DAIRYLAND UNION ELEMENTARY,1.0,0.0,213.0,156.0,0.0,1.0,10.0,381.0,3352000.0,8797.9,80.0,316.0,6.0,10046.313333333334,2706.0,2706.0,441.0,439.0,439.0,72.0,113.0,185.0,162.0,92.0,115.2230971128609
20,20.0,61994.0,ALVINA ELEMENTARY,2.0,0.0,154.0,24.0,1.0,0.0,1.0,182.0,1769000.0,9719.78,20.0,156.0,3.0,4926.200000000001,1080.0,1080.0,140.0,140.0,140.0,28.0,28.0,56.0,27.0,57.0,76.92307692307693
21,21.0,66977.0,ALVORD UNIFIED,40.0,720.0,15161.0,2034.0,85.0,245.0,949.0,19234.0,222608000.0,11573.67,462.0,1216.0,21.0,35088.92857142857,141274.0,141162.0,20406.0,20105.0,20089.0,2180.0,4541.0,6721.0,5612.0,7768.0,104.52843922221066
22,22.0,10033.0,AMADOR COUNTY OFFICE OF EDUCATION,9.0,0.0,51.0,143.0,0.0,19.0,0.0,222.0,12859000.0,57923.42,6.0,160.0,3.0,4961.5,1197.0,1197.0,114.0,108.0,108.0,2.0,18.0,20.0,29.0,59.0,48.64864864864865
23,23.0,73981.0,AMADOR COUNTY UNIFIED,101.0,23.0,780.0,2652.0,9.0,245.0,54.0,3864.0,17515000.0,4532.87,24.0,754.0,12.0,19858.52857142857,27538.0,27496.0,3992.0,3855.0,3849.0,506.0,984.0,1493.0,1152.0,1207.0,99.76708074534162
