District Code,Students Tested
10017,177.0
10033,486.0
10041,750.0
10058,1024.0
10066,0.0
10074,530.0
10082,670.0
10090,1682.0
10108,706.0
10116,126.0
10124,194.0
10132,224.0
10140,228.0
10157,5562.0
10165,137.0
10173,36.0
10181,0.0
10199,2734.0
10207,1004.0
10215,21.0
10223,0.0
10231,100.0
10249,916.0
10256,26.0
10264,0.0
10272,924.0
10280,234.0
10298,2312.0
10306,4858.0
10314,656.0
10322,38.0
10330,2350.0
10348,856.0
10355,90.0
10363,2094.0
10371,2128.0
10389,109.0
10397,1278.0
10405,728.0
10413,164.0
10421,322.0
10439,634.0
10447,1966.0
10454,91.0
10470,0.0
10488,142.0
10496,276.0
10504,776.0
10512,209.0
10520,478.0
10546,920.0
10553,34.0
10561,638.0
10579,92.0
10587,495.0
31609,27.0
31617,500.0
31625,508.0
32276,288.0
61119,18730.0
61127,7750.0
61143,18828.0
61150,19614.0
61168,1390.0
61176,73874.0
61192,43980.0
61200,27758.0
61218,25.0
61234,12088.0
61242,24314.0
61259,71420.0
61275,5948.0
61291,17958.0
61309,21646.0
61333,164.0
61382,140.0
61408,1156.0
61424,24478.0
61432,2028.0
61440,0.0
61457,212.0
61499,696.0
61507,6056.0
61515,1920.0
61523,3214.0
61531,6338.0
61549,3592.0
61556,602.0
61564,5946.0
61572,2108.0
61580,1536.0
61598,2976.0
61606,740.0
61614,3236.0
61622,2738.0
61630,5328.0
61648,34812.0
61655,24164.0
61663,4402.0
61671,90.0
61697,3178.0
61705,1468.0
61713,9590.0
61721,7652.0
61739,8704.0
61747,5168.0
61754,66908.0
61762,13114.0
61770,6736.0
61788,23388.0
61796,58418.0
61804,70232.0
61812,9504.0
61820,7460.0
61838,12844.0
61846,1028.0
61853,6086.0
61879,1250.0
61887,1834.0
61895,30.0
61903,8020.0
61911,366.0
61929,2802.0
61945,832.0
61952,3274.0
61960,1798.0
61978,10150.0
61986,0.0
61994,432.0
62026,70.0
62042,248.0
62109,676.0
62117,89006.0
62125,9316.0
62158,5636.0
62166,145620.0
62240,5864.0
62257,1270.0
62265,20996.0
62281,1374.0
62323,440.0
62331,756.0
62356,1004.0
62364,7234.0
62372,166.0
62380,668.0
62414,25232.0
62430,13628.0
62513,1120.0
62539,1516.0
62547,548.0
