School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
21ST CENTURY LEARNING INSTITUTE,Beaumont Unified,604290,6065,0,2,36,12,37,0,0,,2.98,29.19
A PLACE TO GROW,Ojai Unified,628270,6111,,,,,,,,,,
A. E. ARNOLD ELEMENTARY,Cypress Elementary,610440,6059,,259,229,41,194,6,27,,28,27
A. G. COOK ELEMENTARY,Garden Grove Unified,614880,6059,,242,79,,16,2,10,,16,21.81
A. G. CURRIE MIDDLE,Tustin Unified,640150,6059,1,27,679,7,23,2,3,,30.3,24.49
A. J. DORSA ELEMENTARY,Alum Rock Union Elementary,602310,6085,,30,377,5,2,2,2,,16,26.13
A. L. CONNER ELEMENTARY,Kings Canyon Joint Unified,619700,6019,1,2,343,2,1,,3,,14,25.14
A. M. THOMAS MIDDLE,Lost Hills Union Elementary,622950,6029,,1,170,2,,,,,9.25,18.7
A. M. WINN WALDORF-INSPIRED,Sacramento City Unified,633840,6067,2,29,129,44,156,,29,,15.35,25.34
ABBOTT MIDDLE,San Mateo-Foster City,634920,6081,,115,429,9,221,12,39,,39.01,21.15
ABBY REINKE ELEMENTARY,Temecula Valley Unified,600028,6065,1,63,188,16,444,,72,,34,23.06
ABC ADULT,,601620,,,,,,,,,,,
ABC SECONDARY (ALTERNATIVE),ABC Unified,601620,6037,0,5,54,3,6,0,1,,1.32,52.27
ABRAHAM LINCOLN,Paramount Unified,629850,6037,,5,607,26,4,1,,,27.33,23.53
ABRAHAM LINCOLN ALTERNATIVE,Southern Kern Unified,637620,6029,1,0,50,10,40,0,0,,2.3,43.91
ABRAHAM LINCOLN CONTINUATION,Riverside Unified,633150,6065,0,1,135,5,8,1,2,,11.2,13.57
ABRAHAM LINCOLN ELEMENTARY,Desert Sands Unified,611110,6065,2,11,525,11,52,,23,,24,26
ABRAHAM LINCOLN ELEMENTARY,Santa Ana Unified,635310,6059,1,14,848,3,5,3,,,31,28.19
ABRAHAM LINCOLN ELEMENTARY,Newport-Mesa Unified,627240,6059,,68,61,6,335,,43,,23,22.3
ABRAHAM LINCOLN ELEMENTARY,Glendale Unified,615240,6037,,104,83,,267,,27,,19.5,24.67
ABRAHAM LINCOLN ELEMENTARY,Cupertino Union,610290,6085,1,505,15,1,68,1,25,,23.8,25.88
ABRAHAM LINCOLN ELEMENTARY,Santa Rosa Elementary,635810,6097,3,6,289,2,13,,1,,16,19.63
ABRAHAM LINCOLN ELEMENTARY,Sacramento City Unified,633840,6067,6,33,211,64,112,6,39,,17,27.71
ABRAHAM LINCOLN ELEMENTARY,Colton Joint Unified,609390,6071,,,647,13,9,4,,,29,23.21
ABRAHAM LINCOLN HIGH,San Jose Unified,634590,6085,11,104,1434,56,280,10,38,,83.91,23.04
ABRAHAM LINCOLN MIDDLE,Selma Unified,636270,6019,,34,886,3,45,,1,,51.21,18.92
ABRAHAM LINCOLN SENIOR HIGH,Los Angeles Unified,622710,6037,4,233,736,13,14,,5,,53.88,18.65
ABRAXAS CONTINUATION HIGH,Poway Unified,631530,6073,5,22,68,10,114,2,13,,18.8,12.45
ABRAXIS CHARTER,Santa Rosa High,635830,6097,,,27,1,5,1,2,,,
ACACIA ELEMENTARY,Fullerton Elementary,614730,6059,2,131,191,9,314,,63,,22,32.27
ACACIA ELEMENTARY CHARTER,New Jerusalem Elementary,627030,6077,3,30,181,88,17,,10,,18,18.28
ACACIA MAGNET SCHOOL FOR ENRICHED LEARNING,Conejo Valley Unified,609640,6111,,21,191,2,107,,15,,16,21
ACACIA MIDDLE,Hemet Unified,616920,6065,5,9,477,98,160,,38,,35.3,22.29
ACACIA MIDDLE CHARTER,New Jerusalem Elementary,627030,6077,2,23,70,31,10,2,10,,5,29.6
