Agency Name,State Name [District] Latest available year,Local_Property Taxes,Local_General Sales Taxes,Local_Public Utility Taxes,Local_Individual_and_Corp_Income Taex,Local_All Other Taxes,Local_Parent Government Contributions,Local_Revenue_Cities and Counties,Local_Other School Systems,Local_Tuition Fees_Pupils and Parents,Local_Transp_ Fees_Pupils and Parents,Local_School Lunch Revenues,Local_Textbook Sales and Rentals,Local_Student Activity Receipts,Local_Other Sales and Service Rev,Local_Student Fees NonSpecified,Local_Interest Earnings,Local_Miscellaneous Other Local Rev,Local_Special Processing,Local_Rents and Royalties,Local_Sale of Property,Local_Fines and Forfeits,Local_Private Contributions,State_General Formula Assistance,State_Special Education Programs,State_Transportation Programs,State_Staff Improvement Programs,State_Compensat and Basic Skills Prog,State_Vocational Education Programs,State_Capital Outlay and Debt ServProg,State_Bilingual Education Programs,State_Gifted and Talented Programs,State_School Lunch Programs,State_All Other Rev,State_Payment for LEA Empl_Benefits,State_Other State Payments,State_Non-Specified,Federal_Federal Title I Revenue,Federal_Children with Disabilities,Federal_Child Nutrition Act,Federal_ Eisenhower Math and Science,Federal_Drug_Free_Schools,Federal_Vocational Education,Federal_ All Other Fed_Aid Through State,Federal_Nonspecified,Federal_Impact Aid,Federal_Bilingual Education,Federal_Native American,Federal_All Other Federal Aid
ABC UNIFIED,California,32494000,0,0,0,0,†,7880000,2725000,1153000,0,2375000,0,0,186000,0,576000,4356000,0,634000,0,0,0,140216000,11211000,0,0,1012000,0,0,0,0,402000,30011000,7621000,0,0,2628000,2774000,6058000,1140000,483000,210000,2284000,0,0,316000,0,0
ACALANES UNION HIGH,California,53504000,0,0,0,10444000,†,1198000,2146000,557000,0,1046000,0,0,0,0,357000,6070000,0,636000,0,0,0,5027000,0,0,0,247000,0,0,0,0,6000,6021000,2350000,0,0,360000,918000,130000,75000,0,47000,68000,0,0,7000,0,0
ACKERMAN CHARTER,California,1276000,0,0,0,0,†,40000,156000,0,0,69000,0,0,16000,0,63000,318000,0,0,0,0,0,3052000,0,0,0,33000,0,0,0,0,7000,433000,0,0,0,26000,85000,98000,14000,0,0,0,0,0,0,0,0
ACTON-AGUA DULCE UNIFIED,California,5233000,0,0,0,0,†,127000,2561000,0,0,87000,0,0,0,0,66000,2934000,0,191000,0,0,0,19360000,494000,0,0,102000,0,0,0,0,25000,2007000,779000,0,0,231000,631000,287000,49000,0,13000,29000,0,0,10000,0,0
ADELANTO ELEMENTARY,California,7943000,0,0,0,0,†,1094000,151000,0,0,193000,0,0,0,0,345000,1095000,0,362000,0,0,0,92554000,860000,0,0,508000,0,0,0,0,318000,8333000,3304000,0,0,3995000,1857000,4571000,177000,0,0,93000,0,0,213000,0,0
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,–,–,–,–,–,†,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
ALAMEDA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,25531000,1436000,3671000,0,0,0,0,0,1501000,0,318000,2787000,0,147000,0,0,0,4090000,689000,0,0,450000,0,0,0,0,0,9261000,0,0,0,2181000,206000,0,750000,0,0,2722000,0,0,0,55000,0
ALAMEDA UNIFIED,California,40352000,0,0,0,12145000,†,1850000,5065000,0,0,823000,0,0,0,0,891000,3872000,0,233000,0,0,0,50531000,962000,0,0,458000,0,0,0,0,92000,9863000,3872000,0,0,938000,2022000,1847000,243000,0,47000,661000,0,0,203000,0,24000
ALBANY CITY UNIFIED,California,14526000,0,0,0,6211000,†,35000,383000,0,0,705000,0,0,806000,0,255000,2686000,0,159000,0,0,0,20878000,13269000,0,0,185000,0,0,0,0,20000,5064000,1492000,0,0,258000,5238000,354000,46000,0,0,100000,0,0,67000,0,0
ALEXANDER VALLEY UNION ELEMENTARY,California,1398000,0,0,0,0,†,0,102000,0,0,15000,0,0,36000,0,21000,176000,0,0,0,0,0,409000,0,0,0,6000,0,0,0,0,1000,223000,73000,0,0,10000,13000,15000,1000,0,0,19000,0,0,3000,0,0
ALHAMBRA UNIFIED,California,40859000,0,0,0,0,†,4298000,12978000,0,100000,1057000,0,0,0,0,840000,2810000,0,352000,0,0,0,127137000,205000,0,0,839000,0,1370000,0,0,392000,59735000,6865000,0,0,4243000,18239000,5425000,1114000,0,217000,1348000,0,0,574000,0,0
ALISAL UNION,California,15300000,0,0,0,0,†,56000,3691000,0,0,9000,0,0,25000,0,414000,1234000,0,7000,0,0,0,78132000,0,0,0,450000,0,0,0,0,373000,9780000,3007000,0,0,3965000,1256000,5916000,363000,0,0,172000,0,0,691000,0,0
ALLENSWORTH ELEMENTARY,California,76000,0,0,0,0,†,0,0,0,0,0,0,0,0,0,3000,20000,0,0,0,0,0,848000,0,0,0,4000,0,0,0,0,5000,78000,29000,0,0,50000,0,62000,6000,0,0,0,0,0,0,0,0
ALPAUGH UNIFIED,California,316000,0,0,0,0,†,0,15000,0,0,4000,0,0,0,0,35000,178000,0,0,0,0,0,3600000,0,0,0,16000,0,0,0,0,26000,386000,137000,0,0,260000,0,309000,18000,0,0,19000,0,0,18000,0,0
ALPINE COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,11000,255000,0,55000,0,0,0,787000,0,0,0,2000,0,0,0,0,0,170000,0,0,0,0,0,0,0,0,0,167000,0,0,0,0,0
ALPINE COUNTY UNIFIED,California,1364000,0,0,0,0,†,0,4000,0,0,1000,0,0,0,0,43000,222000,0,10000,0,0,0,504000,104000,0,0,4000,0,0,0,0,4000,205000,95000,0,0,35000,25000,53000,11000,0,0,191000,0,203000,0,0,0
ALPINE UNION ELEMENTARY,California,6292000,0,0,0,0,†,0,778000,0,39000,235000,0,0,307000,0,55000,286000,0,9000,0,0,0,8701000,0,0,0,79000,0,0,0,0,19000,1467000,557000,0,0,97000,373000,277000,69000,0,0,0,0,65000,0,20000,0
ALTA LOMA ELEMENTARY,California,11976000,0,0,0,0,†,531000,2374000,0,0,807000,0,0,2000,0,202000,3210000,0,58000,0,0,0,38327000,0,0,0,288000,0,0,0,0,79000,4631000,1823000,0,0,566000,760000,1256000,152000,0,0,2000,0,0,41000,0,0
ALTA VISTA ELEMENTARY,California,180000,0,0,0,0,†,0,0,0,0,6000,0,0,0,0,30000,10000,0,0,0,0,0,5279000,0,0,0,27000,0,0,0,0,40000,516000,200000,0,0,404000,0,503000,53000,0,0,0,0,0,35000,0,0
ALTA-DUTCH FLAT UNION ELEMENTARY,California,438000,0,0,0,0,†,0,38000,0,0,0,0,0,0,0,15000,49000,0,0,0,0,0,464000,0,0,0,5000,0,0,0,0,0,86000,42000,0,0,51000,21000,0,8000,0,0,15000,0,0,0,0,0
ALUM ROCK UNION ELEMENTARY,California,50334000,0,0,0,2118000,†,0,301000,0,0,56000,0,0,0,0,676000,3314000,0,1760000,0,0,0,73057000,0,0,0,510000,0,0,0,0,464000,12112000,4596000,0,0,3267000,2159000,7246000,680000,0,0,282000,0,0,621000,0,0
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,1072000,0,0,0,0,†,0,67000,0,0,39000,0,0,0,0,15000,1000,0,0,0,0,0,2344000,0,0,0,19000,0,0,0,0,13000,335000,120000,0,0,146000,24000,167000,19000,0,0,18000,0,0,25000,0,0
