School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,Beaumont Unified,604290,0,2,36,12,37,0,0,†
A PLACE TO GROW,California,Ojai Unified,628270,†,†,†,†,†,†,†,†
A. E. ARNOLD ELEMENTARY,California,Cypress Elementary,610440,–,259,229,41,194,6,27,†
A. G. COOK ELEMENTARY,California,Garden Grove Unified,614880,–,242,79,–,16,2,10,†
A. G. CURRIE MIDDLE,California,Tustin Unified,640150,1,27,679,7,23,2,3,†
A. J. DORSA ELEMENTARY,California,Alum Rock Union Elementary,602310,–,30,377,5,2,2,2,†
A. L. CONNER ELEMENTARY,California,Kings Canyon Joint Unified,619700,1,2,343,2,1,–,3,†
A. M. THOMAS MIDDLE,California,Lost Hills Union Elementary,622950,–,1,170,2,–,–,–,†
A. M. WINN WALDORF-INSPIRED,California,Sacramento City Unified,633840,2,29,129,44,156,–,29,†
ABBOTT MIDDLE,California,San Mateo-Foster City,634920,–,115,429,9,221,12,39,†
ABBY REINKE ELEMENTARY,California,Temecula Valley Unified,600028,1,63,188,16,444,–,72,†
ABC ADULT,California,†,601620,†,†,†,†,†,†,†,†
ABC SECONDARY (ALTERNATIVE),California,ABC Unified,601620,0,5,54,3,6,0,1,†
ABRAHAM LINCOLN,California,Paramount Unified,629850,–,5,607,26,4,1,–,†
ABRAHAM LINCOLN ALTERNATIVE,California,Southern Kern Unified,637620,1,0,50,10,40,0,0,†
ABRAHAM LINCOLN CONTINUATION,California,Riverside Unified,633150,0,1,135,5,8,1,2,†
ABRAHAM LINCOLN ELEMENTARY,California,Desert Sands Unified,611110,2,11,525,11,52,–,23,†
ABRAHAM LINCOLN ELEMENTARY,California,Santa Ana Unified,635310,1,14,848,3,5,3,–,†
ABRAHAM LINCOLN ELEMENTARY,California,Newport-Mesa Unified,627240,–,68,61,6,335,–,43,†
ABRAHAM LINCOLN ELEMENTARY,California,Glendale Unified,615240,–,104,83,–,267,–,27,†
ABRAHAM LINCOLN ELEMENTARY,California,Cupertino Union,610290,1,505,15,1,68,1,25,†
ABRAHAM LINCOLN ELEMENTARY,California,Santa Rosa Elementary,635810,3,6,289,2,13,–,1,†
ABRAHAM LINCOLN ELEMENTARY,California,Sacramento City Unified,633840,6,33,211,64,112,6,39,†
ABRAHAM LINCOLN ELEMENTARY,California,Colton Joint Unified,609390,–,–,647,13,9,4,–,†
ABRAHAM LINCOLN HIGH,California,San Jose Unified,634590,11,104,1434,56,280,10,38,†
ABRAHAM LINCOLN MIDDLE,California,Selma Unified,636270,–,34,886,3,45,–,1,†
ABRAHAM LINCOLN SENIOR HIGH,California,Los Angeles Unified,622710,4,233,736,13,14,–,5,†
ABRAXAS CONTINUATION HIGH,California,Poway Unified,631530,5,22,68,10,114,2,13,†
ABRAXIS CHARTER,California,Santa Rosa High,635830,–,–,27,1,5,1,2,†
ACACIA ELEMENTARY,California,Fullerton Elementary,614730,2,131,191,9,314,–,63,†
ACACIA ELEMENTARY CHARTER,California,New Jerusalem Elementary,627030,3,30,181,88,17,–,10,†
ACACIA MAGNET SCHOOL FOR ENRICHED LEARNING,California,Conejo Valley Unified,609640,–,21,191,2,107,–,15,†
ACACIA MIDDLE,California,Hemet Unified,616920,5,9,477,98,160,–,38,†
ACACIA MIDDLE CHARTER,California,New Jerusalem Elementary,627030,2,23,70,31,10,2,10,†
ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH,California,Los Angeles Unified,622710,1,2,564,149,5,–,2,†
ACADEMIA AVANCE CHARTER,CALIFORNIA,SBE - Academia Avance Charter,601435,–,–,376,–,–,–,21,†
