School Name,School Name [Public School] 201617,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,FullTime Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Total Students All Grades (Includes AE)
21ST CENTURY LEARNING INSTITUTE,21st Century Learning Institute,Beaumont Unified,604290,6065,0,2,36,12,37,0,0,2.98,29.19,87
A PLACE TO GROW,A Place to Grow,Ojai Unified,628270,6111,,,,,,,,,,
A. E. ARNOLD ELEMENTARY,A. E. Arnold Elementary,Cypress Elementary,610440,6059,,259,229,41,194,6,27,28,27,756
A. G. COOK ELEMENTARY,A. J. Cook Elementary,Garden Grove Unified,614880,6059,,242,79,,16,2,10,16,21.81,349
A. G. CURRIE MIDDLE,A. G. Currie Middle,Tustin Unified,640150,6059,1,27,679,7,23,2,3,30.3,24.49,742
A. J. DORSA ELEMENTARY,A. J. Dorsa Elementary,Alum Rock Union Elementary,602310,6085,,30,377,5,2,2,2,16,26.13,418
A. L. CONNER ELEMENTARY,A. L. Conner Elementary,Kings Canyon Joint Unified,619700,6019,1,2,343,2,1,,3,14,25.14,352
A. M. THOMAS MIDDLE,A. M. Thomas Middle,Lost Hills Union Elementary,622950,6029,,1,170,2,,,,9.25,18.7,173
A. M. WINN WALDORFINSPIRED,A. M. Winn WaldorfInspired,Sacramento City Unified,633840,6067,2,29,129,44,156,,29,15.35,25.34,389
ABBOTT MIDDLE,Abbott Middle,San MateoFoster City,634920,6081,,115,429,9,221,12,39,39.01,21.15,825
ABBY REINKE ELEMENTARY,Abby Reinke Elementary,Temecula Valley Unified,600028,6065,1,63,188,16,444,,72,34,23.06,784
ABC ADULT,,,601620,,,,,,,,,,,
ABC SECONDARY (ALTERNATIVE),ABC Secondary (Alternative),ABC Unified,601620,6037,0,5,54,3,6,0,1,1.32,52.27,69
ABRAHAM LINCOLN,Abraham Lincoln,Paramount Unified,629850,6037,,5,607,26,4,1,,27.33,23.53,643
ABRAHAM LINCOLN ALTERNATIVE,Abraham Lincoln Alternative,Southern Kern Unified,637620,6029,1,0,50,10,40,0,0,2.3,43.91,101
ABRAHAM LINCOLN CONTINUATION,Abraham Lincoln Continuation,Riverside Unified,633150,6065,0,1,135,5,8,1,2,11.2,13.57,152
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,Desert Sands Unified,611110,6065,2,11,525,11,52,,23,24,26,624
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,Santa Ana Unified,635310,6059,1,14,848,3,5,3,,31,28.19,874
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,NewportMesa Unified,627240,6059,,68,61,6,335,,43,23,22.3,513
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,Glendale Unified,615240,6037,,104,83,,267,,27,19.5,24.67,481
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,Cupertino Union,610290,6085,1,505,15,1,68,1,25,23.8,25.88,616
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,Santa Rosa Elementary,635810,6097,3,6,289,2,13,,1,16,19.63,314
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,Sacramento City Unified,633840,6067,6,33,211,64,112,6,39,17,27.71,471
ABRAHAM LINCOLN ELEMENTARY,Abraham Lincoln Elementary,Colton Joint Unified,609390,6071,,,647,13,9,4,,29,23.21,673
ABRAHAM LINCOLN HIGH,Abraham Lincoln High,San Jose Unified,634590,6085,11,104,1434,56,280,10,38,83.91,23.04,1933
ABRAHAM LINCOLN MIDDLE,Abraham Lincoln Middle,Selma Unified,636270,6019,,34,886,3,45,,1,51.21,18.92,969
ABRAHAM LINCOLN SENIOR HIGH,Abraham Lincoln Senior High,Los Angeles Unified,622710,6037,4,233,736,13,14,,5,53.88,18.65,1005
ABRAXAS CONTINUATION HIGH,Abraxas Continuation High,Poway Unified,631530,6073,5,22,68,10,114,2,13,18.8,12.45,234
ABRAXIS CHARTER,Abraxis Charter,Santa Rosa High,635830,6097,,,27,1,5,1,2,,,36
ACACIA ELEMENTARY,Acacia Elementary,Fullerton Elementary,614730,6059,2,131,191,9,314,,63,22,32.27,710
ACACIA ELEMENTARY CHARTER,Acacia Elementary Charter,New Jerusalem Elementary,627030,6077,3,30,181,88,17,,10,18,18.28,329
ACACIA MAGNET SCHOOL FOR ENRICHED LEARNING,Acacia Elementary,Conejo Valley Unified,609640,6111,,21,191,2,107,,15,16,21,336
ACACIA MIDDLE,Acacia Middle,Hemet Unified,616920,6065,5,9,477,98,160,,38,35.3,22.29,787
ACACIA MIDDLE CHARTER,Acacia Middle Charter,New Jerusalem Elementary,627030,6077,2,23,70,31,10,2,10,5,29.6,148
ACAD FOR MULTILINGUAL ARTS AND SCI AT MERVYN M. DYMALLY HIGH,Acad for Multilingual Arts and Sci at Mervyn M. Dymally High,Los Angeles Unified,622710,6037,1,2,564,149,5,,2,29.5,24.51,723
ACADEMIA AVANCE CHARTER,Academia Avance Charter,SBE  Academia Avance Charter,601435,6037,,,376,,,,21,17.2,23.08,397
ACADEMIA MODERNA,Academia Moderna,Los Angeles Unified,622710,6037,,,435,2,32,,,19,24.68,469
ACADEMIES OF EDUCATION AND EMPOWERMENT AT CARSON HIGH,Academies of Education and Empowerment at Carson High,Los Angeles Unified,622710,6037,1,120,302,88,14,27,7,27.63,20.23,559
ACADEMIES OF THE ANTELOPE VALLEY,Academies of the Antelope Valley,Antelope Valley Union High,602820,6037,,21,254,54,84,,27,26.7,16.48,440
